127.0.0.1 - - [09/Jun/2017:11:38:14 -0700] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [09/Jun/2017:11:38:25 -0700] "GET /jenkins_23May/ HTTP/1.1" 503 1657
0:0:0:0:0:0:0:1 - - [09/Jun/2017:11:38:25 -0700] "GET /jenkins_23May/static/8eef5bb9/scripts/behavior.js HTTP/1.1" 200 2360
0:0:0:0:0:0:0:1 - - [09/Jun/2017:11:38:25 -0700] "GET /jenkins_23May/static/8eef5bb9/css/layout-common.css HTTP/1.1" 200 1245
0:0:0:0:0:0:0:1 - - [09/Jun/2017:11:38:25 -0700] "GET /jenkins_23May/static/8eef5bb9/css/color.css HTTP/1.1" 200 763
0:0:0:0:0:0:0:1 - - [09/Jun/2017:11:38:25 -0700] "GET /jenkins_23May/static/8eef5bb9/css/responsive-grid.css HTTP/1.1" 200 4051
0:0:0:0:0:0:0:1 - - [09/Jun/2017:11:38:25 -0700] "GET /jenkins_23May/static/8eef5bb9/scripts/prototype.js HTTP/1.1" 200 37879
0:0:0:0:0:0:0:1 - - [09/Jun/2017:11:38:25 -0700] "GET /jenkins_23May/static/8eef5bb9/css/style.css HTTP/1.1" 200 9030
0:0:0:0:0:0:0:1 - - [09/Jun/2017:11:38:25 -0700] "GET /jenkins_23May/static/8eef5bb9/scripts/yui/yahoo/yahoo-min.js HTTP/1.1" 200 3038
0:0:0:0:0:0:0:1 - - [09/Jun/2017:11:38:25 -0700] "GET /jenkins_23May/static/8eef5bb9/scripts/yui/event/event-min.js HTTP/1.1" 200 5146
0:0:0:0:0:0:0:1 - - [09/Jun/2017:11:38:25 -0700] "GET /jenkins_23May/static/8eef5bb9/scripts/yui/dom/dom-min.js HTTP/1.1" 200 5739
0:0:0:0:0:0:0:1 - - [09/Jun/2017:11:38:25 -0700] "GET /jenkins_23May/static/8eef5bb9/scripts/yui/animation/animation-min.js HTTP/1.1" 200 4877
0:0:0:0:0:0:0:1 - - [09/Jun/2017:11:38:25 -0700] "GET /jenkins_23May/adjuncts/8eef5bb9/org/kohsuke/stapler/bind.js HTTP/1.1" 503 1657
0:0:0:0:0:0:0:1 - - [09/Jun/2017:11:38:25 -0700] "GET /jenkins_23May/static/8eef5bb9/scripts/yui/dragdrop/dragdrop-min.js HTTP/1.1" 200 6974
0:0:0:0:0:0:0:1 - - [09/Jun/2017:11:38:25 -0700] "GET /jenkins_23May/static/8eef5bb9/scripts/yui/container/container-min.js HTTP/1.1" 200 19888
0:0:0:0:0:0:0:1 - - [09/Jun/2017:11:38:25 -0700] "GET /jenkins_23May/static/8eef5bb9/scripts/yui/connection/connection-min.js HTTP/1.1" 200 4442
0:0:0:0:0:0:0:1 - - [09/Jun/2017:11:38:25 -0700] "GET /jenkins_23May/static/8eef5bb9/scripts/yui/datasource/datasource-min.js HTTP/1.1" 200 8248
0:0:0:0:0:0:0:1 - - [09/Jun/2017:11:38:25 -0700] "GET /jenkins_23May/static/8eef5bb9/scripts/yui/autocomplete/autocomplete-min.js HTTP/1.1" 200 7254
0:0:0:0:0:0:0:1 - - [09/Jun/2017:11:38:25 -0700] "GET /jenkins_23May/static/8eef5bb9/scripts/yui/menu/menu-min.js HTTP/1.1" 200 15901
0:0:0:0:0:0:0:1 - - [09/Jun/2017:11:38:26 -0700] "GET /jenkins_23May/static/8eef5bb9/scripts/yui/element/element-min.js HTTP/1.1" 200 2698
0:0:0:0:0:0:0:1 - - [09/Jun/2017:11:38:26 -0700] "GET /jenkins_23May/static/8eef5bb9/scripts/yui/button/button-min.js HTTP/1.1" 200 8305
0:0:0:0:0:0:0:1 - - [09/Jun/2017:11:38:26 -0700] "GET /jenkins_23May/static/8eef5bb9/scripts/yui/storage/storage-min.js HTTP/1.1" 200 4048
0:0:0:0:0:0:0:1 - - [09/Jun/2017:11:38:26 -0700] "GET /jenkins_23May/static/8eef5bb9/scripts/hudson-behavior.js HTTP/1.1" 200 28681
0:0:0:0:0:0:0:1 - - [09/Jun/2017:11:38:26 -0700] "GET /jenkins_23May/static/8eef5bb9/scripts/sortable.js HTTP/1.1" 200 3999
0:0:0:0:0:0:0:1 - - [09/Jun/2017:11:38:26 -0700] "GET /jenkins_23May/static/8eef5bb9/scripts/yui/container/assets/container.css HTTP/1.1" 200 2306
0:0:0:0:0:0:0:1 - - [09/Jun/2017:11:38:26 -0700] "GET /jenkins_23May/static/8eef5bb9/scripts/yui/assets/skins/sam/skin.css HTTP/1.1" 200 16551
0:0:0:0:0:0:0:1 - - [09/Jun/2017:11:38:26 -0700] "GET /jenkins_23May/static/8eef5bb9/scripts/yui/menu/assets/skins/sam/menu.css HTTP/1.1" 200 1301
0:0:0:0:0:0:0:1 - - [09/Jun/2017:11:38:26 -0700] "GET /jenkins_23May/static/8eef5bb9/scripts/yui/container/assets/skins/sam/container.css HTTP/1.1" 200 1277
0:0:0:0:0:0:0:1 - - [09/Jun/2017:11:38:26 -0700] "GET /jenkins_23May/static/8eef5bb9/scripts/yui/button/assets/skins/sam/button.css HTTP/1.1" 200 810
0:0:0:0:0:0:0:1 - - [09/Jun/2017:11:38:26 -0700] "GET /jenkins_23May/static/8eef5bb9/favicon.ico HTTP/1.1" 200 17542
0:0:0:0:0:0:0:1 - - [09/Jun/2017:11:38:26 -0700] "GET /jenkins_23May/static/8eef5bb9/jsbundles/page-init.js HTTP/1.1" 200 9291
0:0:0:0:0:0:0:1 - - [09/Jun/2017:11:38:26 -0700] "GET /jenkins_23May/adjuncts/8eef5bb9/lib/layout/breadcrumbs.css HTTP/1.1" 503 1657
0:0:0:0:0:0:0:1 - - [09/Jun/2017:11:38:26 -0700] "GET /jenkins_23May/adjuncts/8eef5bb9/org/kohsuke/stapler/bind.js HTTP/1.1" 503 1657
0:0:0:0:0:0:0:1 - - [09/Jun/2017:11:38:26 -0700] "GET /jenkins_23May/adjuncts/8eef5bb9/lib/layout/breadcrumbs.js HTTP/1.1" 503 1657
0:0:0:0:0:0:0:1 - - [09/Jun/2017:11:38:26 -0700] "GET /jenkins_23May/static/8eef5bb9/images/16x16/help.png HTTP/1.1" 200 763
0:0:0:0:0:0:0:1 - - [09/Jun/2017:11:38:26 -0700] "GET /jenkins_23May/static/8eef5bb9/images/title.png HTTP/1.1" 200 2510
0:0:0:0:0:0:0:1 - - [09/Jun/2017:11:38:26 -0700] "GET /jenkins_23May/static/8eef5bb9/images/headshot.png HTTP/1.1" 200 2409
0:0:0:0:0:0:0:1 - - [09/Jun/2017:11:38:26 -0700] "GET /jenkins_23May/static/8eef5bb9/images/16x16/search.png HTTP/1.1" 200 774
0:0:0:0:0:0:0:1 - - [09/Jun/2017:11:38:26 -0700] "GET /jenkins_23May/adjuncts/8eef5bb9/lib/layout/breadcrumbs.css HTTP/1.1" 503 1657
